name,xTB_ene
IKHGUXGNUITLKF_2_0_0,-10.249403
ILHIHKRJJMKBEE_1_0_1,-15.25226
ILHIHKRJJMKBEE_5_0_0,-15.279396
ILHIHKRJJMKBEE_8_0_0,-15.305463
IMROM-WSFSS_11_0_3,-17.428217999999998
IMROM-WSFSS_14_0_3,-17.435454
IMROM-WSFSS_16_0_0,-17.444644
IMROM-WSFSS_16_0_3,-17.442498
IMROM-WSFSS_1_0_0,-17.448178
IMROM-WSFSS_2_0_0,-17.476783
IMROM-WSFSS_3_0_0,-17.477973000000002
IMROM-WSFSS_4_0_2,-17.466793
IMROM-WSFSS_4_0_3,-17.491473
IMROM-WSFSS_5_0_0,-17.39642
IMROM-WSFSS_6_0_0,-17.425337
IMROM-WSFSS_6_1_1,-17.485041
IMROM-WSFSS_7_0_3,-17.410567999999998
IMROM-WSFSS_8_0_1,-17.423579
IMROM-WSFSS_8_0_3,-17.432523
IMROM-WSFSS_9_0_1,-17.42354
JQQGJTHDBODIPT_10_2_2,-21.463753
JQQGJTHDBODIPT_14_0_0,-21.463510000000003
JQQGJTHDBODIPT_17_0_0,-21.450237
JQQGJTHDBODIPT_1_0_0,-21.463454
JQQGJTHDBODIPT_1_0_1,-21.471741
JQQGJTHDBODIPT_25_0_0,-21.496639
JQQGJTHDBODIPT_26_0_1,-21.462032
JQQGJTHDBODIPT_31_0_0,-21.463453
JQQGJTHDBODIPT_5_0_0,-21.482044
JSEMCPMTAXQTJN_12_0_0,-15.546166
JSEMCPMTAXQTJN_15_0_0,-15.517426
JSEMCPMTAXQTJN_1_0_0,-15.51775
JSEMCPMTAXQTJN_2_0_0,-15.499933
JSEMCPMTAXQTJN_2_1_0,-15.546857000000001
JSEMCPMTAXQTJN_2_1_1,-15.546329
JSEMCPMTAXQTJN_9_0_0,-15.546141
JSEMCPMTAXQTJN_9_0_3,-15.541141999999999
KAKZB-VGGSQ_1_0_1,-17.759055999999998
KAKZB-VGGSQ_1_0_2,-17.760951000000002
KAKZB-VGGSQ_1_1_0,-17.764107
KAKZB-VGGSQ_4_0_0,-17.795952
KAKZB-VGGSQ_4_0_2,-17.699891
KAKZB-VGGSQ_5_0_0,-17.661293
KAKZB-VGGSQ_5_0_3,-17.659131000000002
KAKZB-VGGSQ_6_0_2,-17.695051
KAKZB-VGGSQ_7_0_3,-17.812259
KYKDRUWGNWYQSD_15_0_0,-21.518746
KYKDRUWGNWYQSD_15_0_3,-21.522600999999998
KYKDRUWGNWYQSD_15_1_2,-21.516585
KYKDRUWGNWYQSD_18_0_0,-21.48772
KYKDRUWGNWYQSD_23_0_0,-21.446002
KYKDRUWGNWYQSD_25_0_1,-21.514611
KYKDRUWGNWYQSD_27_0_1,-21.460143
KYKDRUWGNWYQSD_2_1_2,-21.453463000000003
KYKDRUWGNWYQSD_8_1_3,-21.48772
MEUKEBNAABNAEX_2_0_0,-12.135108
MFKZDADVASPENT_10_0_1,-21.481115
MFKZDADVASPENT_11_1_1,-21.448621
MFKZDADVASPENT_14_0_1,-21.382102
MFKZDADVASPENT_19_0_0,-21.488743000000003
MFKZDADVASPENT_19_0_1,-21.484948
MFKZDADVASPENT_23_0_2,-21.472735
MFKZDADVASPENT_25_0_0,-21.471705
MFKZDADVASPENT_26_0_0,-21.455587
MFKZDADVASPENT_27_0_0,-21.464026
MFKZDADVASPENT_27_0_1,-21.463539
MFKZDADVASPENT_27_0_2,-21.464248
MFKZDADVASPENT_30_0_0,-21.455317
MFKZDADVASPENT_35_0_0,-21.427011
MFKZDADVASPENT_37_0_2,-21.455842
MFKZDADVASPENT_38_0_0,-21.456647
MFKZDADVASPENT_4_0_1,-21.466781
